date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:05	150/150	---MC-	200	added ('OK')	text/plain	date:Fri,%2013%20Apr%202018%2017:20:05%20GMT	http://www.solarcosur.com/robots.txt		(from )
14:20:06	16746/16746	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Apr%202018%2017:20:06%20GMT	http://www.solarcosur.com/	C:/My%20Web%20Sites/solar2/www.solarcosur.com/index.html	(from )
14:20:07	3897/3897	---M--	200	added ('OK')	image/png	etag:%225aa26ebd-f39%22	https://u.jimcdn.com/cms/o/s8305c075a15b3c36/img/favicon.png?t=1305924443	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/s8305c075a15b3c36/img/favicon0ae7.png	(from http://www.solarcosur.com/)
14:20:07	5441/5441	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Apr%202018%2017:20:07%20GMT	https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/main.css?t=1523579801	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/main1010.css	(from http://www.solarcosur.com/)
14:20:07	3718/3718	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Apr%202018%2017:20:07%20GMT	https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/layout.css?t=1481798907	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/layout3e1b.css	(from http://www.solarcosur.com/)
14:20:07	836/836	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Apr%202018%2017:20:07%20GMT	https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/font.css?t=1523579801	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/font1010.css	(from http://www.solarcosur.com/)
14:20:10	203633/203633	---M-Z	200	added ('OK')	text/css	etag:%2261abed12bcc89ed17f63d89cad9042a5%22	https://assets.jimstatic.com/web_oldtemplate.css.37c7b1161a14ed658939affffc0d6ce4.css	C:/My%20Web%20Sites/solar2/assets.jimstatic.com/web_oldtemplate.css.37c7b1161a14ed658939affffc0d6ce4.css	(from http://www.solarcosur.com/)
14:20:11	1290/1290	---M-Z	200	added ('OK')	text/css	etag:%222fa597859180728e007b22bd7553777f%22	https://assets.jimstatic.com/ownbgr.css.72b304e248c5b0dc046b611c132c3ad2.css	C:/My%20Web%20Sites/solar2/assets.jimstatic.com/ownbgr.css.72b304e248c5b0dc046b611c132c3ad2.css	(from http://www.solarcosur.com/)
14:20:11	570477/570477	---M-Z	200	added ('OK')	application/javascript	etag:%225d5413492902aa0c7ac602d1e5e3210a%22	https://assets.jimstatic.com/web.js.910333d9b0963d96f918.js	C:/My%20Web%20Sites/solar2/assets.jimstatic.com/web.js.910333d9b0963d96f918.js	(from http://www.solarcosur.com/)
14:20:11	1633/1633	---M--	200	added ('OK')	image/png	etag:%225aa26ebc-661%22	https://u.jimcdn.com/cms/o/s8305c075a15b3c36/emotion/crop/header.png?t=1306516873	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/s8305c075a15b3c36/emotion/crop/headerde98.png	(from http://www.solarcosur.com/)
